Marathon Goal,Half-Marathon Goal,Recovery,Aerobic A/Easy,Aerobic B/Easy,Moderate Aerobic/Long Run,Marathon Pace/Tempo,Strength,10K Speed,5K Speed
5:00:00,2:24:00,8:55,8:24,7:52,7:37,7:06,7:00,6:31,6:15
4:45:00,2:17:00,8:31,8:01,7:31,7:15,6:45,6:38,6:11,5:56
4:30:00,2:10:00,8:05,7:34,7:05,6:53,6:24,6:17,5:52,5:38
4:15:00,2:02:00,7:41,7:13,6:45,6:30,6:02,5:56,5:32,5:18
4:00:00,1:55:00,7:15,6:50,6:22,6:08,5:41,5:34,5:13,5:00
3:55:00,1:53:00,7:07,6:37,6:12,5:59,5:34,5:28,5:06,4:53
3:50:00,1:50:00,6:59,6:33,6:07,5:53,5:26,5:20,5:00,4:47
3:45:00,1:48:00,6:50,6:25,5:59,5:46,5:20,5:13,4:53,4:41
3:40:00,1:45:00,6:42,6:17,5:52,5:39,5:12,5:06,4:47,4:35
3:35:00,1:43:00,6:33,6:09,5:44,5:31,5:05,4:59,4:40,4:29
3:30:00,1:41:00,6:24,6:01,5:36,5:24,4:58,4:52,4:34,4:22
3:25:00,1:38:00,6:16,5:52,5:28,5:16,4:51,4:45,4:27,4:16
3:20:00,1:36:00,6:08,5:45,5:21,5:09,4:44,4:38,4:20,4:10
3:15:00,1:33:00,5:59,5:36,5:13,5:01,4:37,4:30,4:14,4:04
3:10:00,1:31:00,5:51,5:28,5:06,4:54,4:30,4:24,4:07,3:57
3:05:00,1:29:00,5:42,5:20,4:58,4:47,4:22,4:16,4:01,3:51
3:00:00,1:26:00,5:33,5:12,4:50,4:38,4:16,4:09,3:54,3:44
2:55:00,1:24:00,5:24,5:04,4:43,4:31,4:08,4:02,3:48,3:38
2:50:00,1:21:30,5:15,4:55,4:35,4:24,4:01,3:55,3:41,3:32
2:45:00,1:19:00,5:07,4:47,4:27,4:16,3:54,3:48,3:34,3:26
2:40:00,1:17:00,4:58,4:39,4:19,4:09,3:47,3:41,3:28,3:20
2:35:00,1:14:00,4:49,4:31,4:12,4:01,3:40,3:34,3:21,3:13
2:30:00,1:12:00,4:40,4:22,4:04,3:54,3:33,3:26,3:15,3:07
2:25:00,1:09:30,4:32,4:14,3:56,3:46,3:26,3:20,3:08,3:01
2:20:00,1:07:00,4:22,4:06,3:48,3:38,3:18,3:12,3:02,2:55
2:15:00,1:04:45,4:14,3:57,3:41,3:31,3:12,3:05,2:55,2:49
2:10:00,1:02:30,4:05,3:49,3:33,3:23,3:04,2:58,2:49,2:42
